,user_degree,avg_pop_choice,avg_aud_omni
el-lin,2.0,2749.5,26.126102065703712
chehof,40.0,2661.15,25.564639618117894
Daodeeva,1.0,2524.0,25.497622820919176
fedora323,1.0,2852.0,25.92671809256662
MalusExMachina,13.0,2197.923076923077,26.485830321553752
postgator,2.0,3932.5,25.254911964108302
bjarnsn,35.0,2608.9714285714285,24.901958193055755
Bioavailability,8.0,1995.75,26.63199070951639
Sacredz12,1.0,3233.0,25.203835446953295
AshMcAuliffe,22.0,3655.5,25.307495550836997
lalagon,27.0,2885.740740740741,26.88230805199113
agungoo,5.0,6181.4,23.329954940553776
phasefour,1.0,325.0,25.766153846153845
melomanias,8.0,1205.0,26.869850358176873
furiousfunk,6.0,2746.6666666666665,26.344588726874957
Trieangel,13.0,3060.5384615384614,25.086414326075197
myhdal,11.0,2818.2727272727275,21.843439554296342
y3n0,2.0,6171.0,23.8567226090234
ArgentDefender,12.0,2766.3333333333335,26.538318681026677
luccz,13.0,3135.6153846153848,24.97342906843231
Stiklakunis,17.0,1877.2941176470588,27.025543926254223
VyPole,4.0,4115.0,26.584353350785133
finalscore,15.0,3036.2,26.77196050855286
JGEsteves,8.0,5497.5,24.441684064299555
a777nnx,3.0,2676.0,23.253588721837612
hohofuckyou,8.0,2993.375,26.73041157357417
Gabrielccosta,25.0,3532.36,26.257977633059173
augchan,9.0,4609.555555555556,23.720796190114996
rirriri,5.0,2135.6,23.783633133657325
fackl,1.0,670.0,30.376119402985076
Esseth,6.0,4772.333333333333,26.8764731090221
KeyserH,8.0,1935.375,23.89195206378662
Tezoss,47.0,3312.446808510638,26.649251453333857
sui4icai,9.0,2392.6666666666665,24.922893442687815
Ehsandiary,1.0,7093.0,21.984350768363175
franklo,1.0,1827.0,25.957307060755337
RHETT__BUTLER,5.0,2314.6,26.899302890047853
mnk_400,5.0,5941.6,22.733676216320607
Doof2016,4.0,5304.75,24.924407992572704
moonwrapped,3.0,1348.3333333333333,22.42864874469139
HenkPaal,2.0,4318.5,24.816291014327682
IgorPivo,17.0,3196.470588235294,26.874434057733055
burannah,3.0,555.0,23.567230106469292
HelloMokona,2.0,2660.0,24.05763274336283
mistastaples,1.0,8991.0,21.468802135468803
Amez-,1.0,3705.0,27.004318488529016
jrnwdt,37.0,3451.108108108108,25.49107270215824
redhotnrio,37.0,3498.5405405405404,26.56996602636416
zs42311,2.0,7547.0,23.813214846852848
Asota,7.0,3493.8571428571427,25.327717402578408
indipox,8.0,2874.0,25.746238403495493
griffinwabash,1.0,2135.0,24.317564402810305
xxxjeremyxxx,40.0,2670.675,27.251645057506114
Robbie3012,4.0,1313.25,27.35255769207786
Balpheor,26.0,2441.346153846154,27.083632557467926
Luankaue,1.0,7093.0,21.984350768363175
rrsmf12,10.0,4742.7,23.867959149544294
AlexPaterson,3.0,1454.6666666666667,20.551681759671343
getterz88,1.0,10274.0,23.076114463694765
buterflyyy,28.0,3263.214285714286,26.0086148167687
Umby_chan,30.0,3098.9666666666667,26.52038642082461
MalQba,12.0,2559.6666666666665,26.914097866650774
ch-maggot,1.0,461.0,27.11062906724512
GiveRespect,2.0,6311.0,23.037485617445224
nshanemartin,3.0,3623.3333333333335,26.301556184963374
Jonsip,1.0,224.0,25.147321428571427
cruz25,1.0,3530.0,24.78158640226629
beregd,2.0,1016.0,26.311956516303887
nasion,49.0,3246.183673469388,26.061927330210462
Tiagoyuppie,4.0,5042.25,23.68116542574687
justaphase823,6.0,5043.5,23.824400421277897
joao_e2010,12.0,4306.583333333333,24.761601918510156
yago_dickinson,7.0,2065.8571428571427,27.458354910812545
Thaia_music,9.0,3025.0,23.27946808858759
