,r_user_degree,r_avg_pop_choice,r_avg_aud_omni
skalaso,14.0,3021.769230769231,26.294429031966438
sunrise8844,13.0,3405.7272727272725,25.735606249815955
komaXkino,31.0,2502.8518518518517,26.231644765060853
concurrents,2.0,4900.5,24.851093285449352
Picoleze,1.0,3641.0,25.96315468940317
poobread,38.0,3378.625,25.760441332020097
ugurmebe,3.0,3925.6666666666665,25.82471654915732
Lautwasser,24.0,3867.842105263158,25.65555061538637
Baalrech,4.0,1942.0,26.77391516421334
KentNymand,1.0,2852.0,25.752614641995173
caah_shadows,6.0,1887.0,26.961177560580502
MaNNa___90,2.0,2031.5,27.52515532635296
thenwellflyaway,4.0,3795.0,25.535722706853704
elpiltrafilla,4.0,4699.25,24.840022213108465
franciscod,6.0,4240.833333333333,25.00011891730102
muskeers,4.0,2736.0,26.047362123046724
monica84,9.0,4513.714285714285,25.258954890786896
ben2277,15.0,3989.3333333333335,25.24992747745122
DerSokoloff,2.0,1917.5,26.711725113085983
aussieglis,2.0,4662.5,25.069638298644577
musicrockro,15.0,3612.0,25.854235862597584
ytkaevgen,28.0,4279.0,25.33678182510799
rico101,28.0,4204.583333333333,25.456161785891748
drabreu,37.0,3410.5384615384614,25.966976270074266
shogo2,46.0,2917.675,26.156852638499537
nitriamunhoz,12.0,3682.25,25.717672473730563
djdjeja,6.0,5831.2,24.56630206781343
henriquee_t88,8.0,2929.5,26.34884677543417
Meister_Dee,45.0,3159.90625,26.144374286462842
slim666,2.0,4488.5,25.122371149618633
Chelgore,9.0,6235.0,24.171980800023405
frankpanduh,18.0,4208.333333333333,25.134022894333626
Fyrefall,1.0,5240.0,25.001438848920863
joltcan,4.0,1146.0,26.640176635297586
Dis-Punx,3.0,3132.0,25.23785815173527
stickmus,4.0,1773.5,26.736019210415094
bynast,3.0,2287.3333333333335,26.398441674351343
Ole4_4ka,12.0,5214.5,24.755448663503937
amb0123,6.0,4241.666666666667,25.152154991471136
Akeemy,8.0,2382.0,26.339942773071378
KristinaUrine,35.0,3161.3703703703704,25.956249605754074
HDiggityFlan,3.0,1395.0,26.882144837144835
Big_Na,1.0,6881.0,23.663337430854334
hostile32,3.0,3487.5,26.055270430704958
That_Exe,47.0,2954.135135135135,26.261095651178092
ciwwafxflame,3.0,4843.666666666667,25.465884512642123
nightwish4ever,7.0,3071.4285714285716,25.799141189152063
magicgiraffe,4.0,4051.0,25.660478285794486
avidlistener,39.0,2918.516129032258,26.117164996248885
Like_The_Angel,15.0,4002.8333333333335,25.464871202374866
Neo1771991,10.0,4388.333333333333,25.286681805161642
Anachr0nistic,32.0,3569.5185185185187,25.76373050052617
sssmile,8.0,2424.3333333333335,26.217803429137078
kuih,3.0,5700.666666666667,24.467347542357658
the_mighty_hog,4.0,3196.0,26.044634610649563
depressivefish,1.0,3270.0,25.719545767377838
jorshludd,2.0,6061.5,24.28420799569041
Baalslayer,20.0,4279.6,25.487400310481522
Mawena,1.0,11031.0,21.538475993610824
riseoverrun,2.0,2634.0,26.43100436681223
crimsonxsoda,15.0,3854.3333333333335,25.569183208529157
nemezijus,2.0,503.0,26.82456140350877
lygy,38.0,2792.483870967742,26.166044736147107
Apocalypsebeast,9.0,2778.1428571428573,26.149235788343237
Jeroentj,3.0,2979.3333333333335,26.025325460876918
alice2495,1.0,5262.0,24.71641791044776
cnspln,13.0,4100.6,25.52260076454794
salvaam,14.0,3473.9,25.793602996320242
melonhead118,3.0,1064.5,27.257215401900908
nagabo1966,2.0,3126.0,25.81694145321756
nando_andrade,2.0,6040.0,24.218573446327685
bufiji07,5.0,4000.6,25.268884116532025
cha0s_Angel,39.0,3466.0967741935483,25.8253054938455
SocratesAntypas,1.0,289.0,25.360902255639097
Mimizu666,18.0,1818.0,26.62026948129023
marcoslhc,2.0,4040.5,25.53520368993429
JoeThePoet,7.0,6218.0,24.46949871498331
zerofriends-,9.0,3679.25,25.58450318626668
GavinAckerman,5.0,1585.4,26.97579241439995
illya23b,2.0,3824.5,25.798188799255353
priguin,15.0,3302.0,25.92479367364017
overwhelmingk,1.0,3530.0,25.758522727272727
fazzo5000,33.0,3170.8888888888887,26.067133747188237
Ametalo,12.0,3085.6,26.17984932639751
theakara,2.0,4662.0,25.409560362875087
AntonNrdermeer,4.0,2188.3333333333335,26.80693647223084
JohnVoxville,8.0,3794.625,25.58211149180579
tsheree,1.0,3641.0,25.96315468940317
Bedroom37,5.0,4048.0,25.739148299828376
Hannybaby,7.0,4920.0,25.237695200670014
IAmNightingale,10.0,3277.1428571428573,26.35922987252827
afterthoughtts,1.0,4025.0,25.240076649329318
lisusimus,9.0,4809.428571428572,25.076606798691834
Pastillus,47.0,2465.108108108108,26.45557996520417
thesaddestsong,6.0,4923.0,25.118340441009554
SeaweedSandwich,2.0,3132.0,25.849295265630648
Stuniesky,1.0,11031.0,21.538475993610824
Parthamaspates,11.0,5159.875,24.71840592039473
plippycountess,8.0,1720.142857142857,26.91829285159094
Fitzcairn_,2.0,534.0,29.268370607028753
reyreyner,3.0,11031.0,21.538475993610824
jaxfff,2.0,5240.0,25.001438848920863
Emilie_Flege,10.0,3183.5555555555557,26.03504795236051
theInspirit,9.0,3284.1428571428573,26.13752516420913
analny_pasterz,2.0,4505.0,25.22847479796615
dissipates,42.0,3156.848484848485,25.991564964734145
ClickBleepCreak,46.0,3385.9189189189187,25.922471177089314
freestylerocka,1.0,5056.0,24.85747863247863
DJ-Lycanthropus,45.0,2848.457142857143,26.127150750018853
piixoxo,1.0,5784.0,24.502773668639055
Aragvar,15.0,3803.5,25.723469881520877
floydfan2277,4.0,3792.0,25.720076567888025
Tema_Temnyi,5.0,1918.6666666666667,26.204869232872312
sosaystheswami,5.0,4566.25,25.149978614893538
BrofessorJacob,12.0,5237.6,24.814233889901356
koze69,5.0,4713.2,24.95963215490074
beau99,20.0,4067.0666666666666,25.461723559283794
Grenzae,29.0,3374.6666666666665,25.924900728736258
skyggene,1.0,3146.0,26.009312320916905
ngi-,30.0,3312.8695652173915,25.818739386231012
SonicYouthMZ,39.0,3317.969696969697,25.88687850134733
Brzozek,29.0,2959.913043478261,26.2036117518451
G_N411,2.0,5784.0,24.502773668639055
hAkonf,39.0,2951.5714285714284,26.065162732988153
mathalmeida451,1.0,3917.0,25.49394536750211
jocke93t,4.0,3769.0,25.68967239741109
alienated_youth,4.0,3778.75,25.675227010643113
Musicismyjah,1.0,4935.0,25.089591567852437
U2species,2.0,1528.5,26.964716337608685
SergiuszSERGY,33.0,2558.8928571428573,26.361113529320214
reaperstinky,10.0,5423.2,24.465980277568644
InfoNexus,36.0,3377.0434782608695,25.561148191559454
Bloodmind,1.0,2278.0,26.662724935732648
Rob_Desm0nd,19.0,2496.5714285714284,26.273794240099328
Zikij,1.0,9433.0,22.397634313508732
Zifthis,14.0,3298.75,25.794369536354125
blinkfan339,4.0,3027.5,24.89808021549964
vladymir_nox,1.0,537.0,26.49044585987261
surepii,8.0,5325.571428571428,24.829803598643956
IggePop,2.0,2990.0,26.048179059180576
spizowyratler,1.0,1498.0,27.044142614601018
kruzulis,2.0,2907.0,26.26426349317577
spectagram,1.0,9433.0,22.397634313508732
jiwysbae,2.0,3912.0,25.86558352370843
bbqminho,2.0,8991.0,22.719120725750173
OptikPL,8.0,4871.857142857143,24.87651038483543
fandelost,13.0,3305.3846153846152,25.857603895441873
DeadeyeBug,6.0,3789.25,25.91361213032872
Lethargic-AWD,47.0,2977.285714285714,26.164258871483785
be-tun,1.0,1438.0,26.66637089618456
Shaddy,29.0,3187.521739130435,25.971150579532154
Zytrock,6.0,2595.2,26.23210463225596
HardDeEvil,10.0,2969.0,25.89131890340459
MaryLugat,47.0,3556.969696969697,25.743576953330894
LunnidoBox,33.0,3179.84,25.974977843093587
omenik,44.0,2716.064516129032,26.315999566981034
diegocarrera,1.0,4025.0,25.240076649329318
BrootalNeedle,5.0,4497.5,25.170093770658404
beculet,7.0,3872.8333333333335,25.32412995657006
Reecesmith45,1.0,5784.0,24.502773668639055
seabird217,11.0,3889.4,25.555346487232846
Qwot,35.0,3114.285714285714,26.07142470171355
audiophile96,1.0,2634.0,26.43100436681223
andrewMedium,17.0,4440.7692307692305,25.388650259821468
bayukuuro,21.0,4009.764705882353,25.516608297070164
w3irdness,3.0,1624.5,27.074905457055582
Teradeth,11.0,4642.8,25.07347496116933
goldenchilds,5.0,5846.0,24.283447595238812
candacemd,2.0,2184.5,26.662374921986867
dextr0us,2.0,3380.0,25.731709755478917
Frysiu,2.0,6627.5,24.189046812525007
AeroCooper,18.0,3475.0833333333335,25.994562605253055
palejulle,7.0,1943.5,26.45494689883279
tarantulacat,3.0,3118.6666666666665,26.158428605825026
greedyluxe,2.0,5096.5,25.116794001674926
formatodigital,21.0,3133.4375,25.998556658627553
christianaderoo,7.0,1880.0,26.62691525947963
fantomitza,9.0,4710.333333333333,24.982077213051916
esolutions,8.0,3488.4285714285716,26.00635631278094
loisso,7.0,3205.8571428571427,26.038230204526084
Jacek73,3.0,2723.0,25.957433310963843
proexpert,2.0,5679.0,24.04923799680541
Ryan88ta,4.0,3799.5,25.727913222516996
DarkPassion_,1.0,1753.0,27.393960674157302
Adi-1984,1.0,2706.0,26.331066723331915
dsroka005,5.0,3466.25,25.871569444121025
Haper-Hap,16.0,3085.0833333333335,25.76924357979959
