Code,rep_health,satisfaction,sex,age,edu,gini,ln_abs_inc,ln_rel_inc,ln_gdp_cap,unemp_rate,edu_exp,health_exp,emissions,growth,unemp,retired,married,kids,age2,pos_dummy,neg_dummy
CYP,2.0,10.0,1.0,20.0,4.0,31.1,9.92007723301578,0.25728459526741004,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,0.0,0.0,0.0,400.0,1,0
CYP,2.0,10.0,1.0,39.0,1.0,31.1,9.66279263774837,0.0,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,0.0,1.0,0.0,1521.0,1,0
CYP,1.0,8.0,1.0,28.0,7.0,31.1,9.66279263774837,0.0,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,0.0,1.0,0.0,784.0,1,0
CYP,2.0,6.0,1.0,20.0,6.0,31.1,9.66279263774837,0.0,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,0.0,0.0,0.0,400.0,1,0
CYP,3.0,5.0,2.0,53.0,8.0,31.1,9.66279263774837,0.0,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,1.0,1.0,1.0,2809.0,1,0
CYP,3.0,10.0,2.0,83.0,1.0,31.1,9.66279263774837,0.0,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,0.0,0.0,1.0,6889.0,1,0
CYP,2.0,5.0,1.0,56.0,4.0,31.1,9.66279263774837,0.0,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,0.0,1.0,1.0,3136.0,1,0
CYP,2.0,10.0,2.0,56.0,3.0,31.1,9.66279263774837,0.0,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,0.0,0.0,1.0,3136.0,1,0
CYP,2.0,10.0,2.0,71.0,2.0,31.1,9.396829089251233,-0.2659635484971379,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,1.0,0.0,1.0,5041.0,1,0
CYP,3.0,6.0,2.0,76.0,1.0,31.1,9.022135639809822,-0.6406569979385486,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,0.0,0.0,1.0,5776.0,1,0
CYP,2.0,6.0,1.0,39.0,6.0,31.1,9.66279263774837,0.0,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,0.0,1.0,0.0,1521.0,1,0
CYP,3.0,5.0,1.0,63.0,6.0,31.1,9.66279263774837,0.0,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,1.0,1.0,0.0,3969.0,1,0
CYP,3.0,5.0,1.0,63.0,7.0,31.1,9.66279263774837,0.0,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,1.0,1.0,1.0,3969.0,1,0
CYP,3.0,8.0,2.0,60.0,7.0,31.1,9.66279263774837,0.0,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,1.0,0.0,1.0,3600.0,1,0
CYP,2.0,7.0,1.0,27.0,6.0,31.1,9.66279263774837,0.0,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,0.0,1.0,1.0,729.0,1,0
CYP,2.0,10.0,1.0,68.0,6.0,31.1,9.66279263774837,0.0,10.451580767296035,4.54290008544922,6.3302698135376,2.34010673,8761.86464,0.11889601905011542,0.0,1.0,1.0,0.0,4624.0,1,0
